,link,image_url,rating,reviews,address,opening_hours,latitude,longitude,kategori,aktivitas,deskripsi,note
Pemandian Aek Sipitu Dai,https://www.google.com/maps/place/Pemandian+Aek+Sipitu+Dai/data=!4m7!3m6!1s0x3031d0106d42bb71:0x5f4de331ece86492!8m2!3d2.5787301!4d98.6476008!16s%2Fg%2F11b7lmk7kt!19sChIJcbtCbRDQMTARkmTo7DHjTV8?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipOvgYmruBsPMxxOCPSOKH_jtg274LgY5Clwlw7L=w200-h92-k-no,4.3,415,"HJHX+F2X, Aek Sipitudai, Sianjur Mula Mula, Samosir Regency, North Sumatra 22396",Open 08.00-16.00,2.5787301,98.6476008,Alam,Fotografi,"Pemandian Aek Sipitu Dai, yang berarti ""Air Tujuh Rasa"", terletak di Desa Limbong Mulana, Kecamatan Sianjur Mula Mula, Kabupaten Samosir. Tempat ini terkenal dengan tujuh pancuran air yang masing-masing memiliki rasa berbeda, sebuah fenomena alam yang langka.",
View Point Tongging Geopark Kaldera Toba,https://www.google.com/maps/place/View+Point+Tongging+Geopark+Kaldera+Toba/data=!4m7!3m6!1s0x3031b336f603d02b:0x9b37d4e1c5e0ed67!8m2!3d2.8968349!4d98.5287058!16s%2Fg%2F11fqpx30ym!19sChIJK9AD9jazMTARZ-3gxeHUN5s?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipN-LjIul6qX-6U8Jju5XRrWhBlu-wXDmIQy1RgD=w204-h92-k-no,4.6,170,"Jl. Tongging - Silalahi No.22, Tongging, Kec. Merek, Kabupaten Karo, Sumatera Utara 22173",Open 24 hours,2.8968349,98.5287058,Alam,"Pemandangan, Fotografi, Edukasi","View Point Tongging terletak di Desa Tongging, Kecamatan Merek, Kabupaten Karo. Tempat ini menawarkan pemandangan spektakuler Danau Toba dan sekitarnya dari ketinggian. Sebagai bagian dari Geopark Kaldera Toba, lokasi ini juga memberikan informasi edukatif tentang sejarah geologi dan pembentukan kaldera Toba, menjadikannya tempat yang ideal bagi wisatawan yang tertarik dengan keindahan alam dan ilmu pengetahuan.",
Taman Wisata Asal Usul (Legenda) Danau Toba,https://www.google.com/maps/place/Taman+Wisata+Asal+Usul+%28Legenda%29+Danau+Toba/data=!4m7!3m6!1s0x3031c15387860b3d:0xa3885a500872425e!8m2!3d2.6808079!4d98.8360303!16s%2Fg%2F11g03_t49b!19sChIJPQuGh1PBMTARXkJyCFBaiKM?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNyiZstjt0FHDMrZzaXUqQF8oY1Fjeh8bjYOws=w122-h92-k-no,4.1,11,"MRJP+8CC, siallagan, Kabupaten Samosir, Sumatera Utara",Open now,2.6808079,98.8360303,Budaya,"Edukasi, Fotografi, Edukasi","Taman Wisata Asal Usul Danau Toba terletak di Desa Siallagan, Kabupaten Samosir. Tempat ini dirancang untuk memperkenalkan pengunjung pada legenda dan cerita rakyat yang berkaitan dengan asal usul Danau Toba.",bukan kategori
Lake Toba,https://www.google.com/maps/place/Lake+Toba/data=!4m7!3m6!1s0x3031de07a843b6ad:0xc018edffa69c0d05!8m2!3d2.7860786!4d98.6160674!16zL20vMDRuNGY!19sChIJrbZDqAfeMTARBQ2cpv_tGMA?authuser=0&hl=en&rclk=1 ,https://lh3.googleusercontent.com/p/AF1QipMRCCS5BYwPekVhA3kSzZszlpBuV-3IbnGq9GUt=w122-h92-k-no,4.6,450,North Sumatra,Open 24 hours,2.7860786,98.6160674,Alam,"Aktivitas Air Berenang, Perahu, Pemandangan, Eksplorasi","Danau Toba adalah danau vulkanik terbesar di dunia, terletak di Provinsi Sumatera Utara. Dengan panjang sekitar 100 km dan lebar 30 km, danau ini terbentuk dari letusan supervolcano sekitar 74.000 tahun yang lalu.",
WAIS desa sippan,https://www.google.com/maps/place/WAIS+desa+sippan/data=!4m7!3m6!1s0x3031adb5e0cf1c39:0x56493839df4fb533!8m2!3d2.9076666!4d98.5651309!16s%2Fg%2F11p5djfjvg!19sChIJORzP4LWtMTARM7VP3zk4SVY?authuser=0&hl=en&rclk=1 ,https://lh3.googleusercontent.com/p/AF1QipN_dgAclwS3ricLHNlhTpzBb_iEx_1Ni-TtjF6L=w122-h92-k-no,4.6,56,"WH79+22J, Naga Saribu, Pamatang Silima Huta, Simalungun Regency, North Sumatra 21167",Open 24 hours,2.9076666,98.5651309,Alam,"Hiking, Camping, Fotografi, Pemandangan","Wisata Anugerah Indah Sippan (WAIS) terletak di Desa Sippan Tigaraja, Kecamatan Pamatang Silimahuta, Kabupaten Simalungun. Berada di ketinggian 1.410 meter di atas permukaan laut, WAIS menawarkan pemandangan indah Danau Toba dan sekitarnya",
Batak Museum,https://www.google.com/maps/place/Batak+Museum/data=!4m7!3m6!1s0x3031e9949117fdff:0xa7f350eb6c387b48!8m2!3d2.6506312!4d98.8601052!16s%2Fg%2F11x1nl4s9!19sChIJ__0XkZTpMTARSHs4bOtQ86c?authuser=0&hl=en&rclk=1 ,https://lh3.googleusercontent.com/p/AF1QipOOgZXA9sgk6_QsOILVa0D3pqKOAAbfX6BP0Jde=w163-h92-k-no,4.3,434,"MV26+725, Tomok, Simanindo, Samosir Regency, North Sumatra 22395",Open 08.00 - 20.00,2.6506312,98.8601052,Budaya,"Edukasi, Edukasi, Edukasi","Museum Batak terletak di Desa Tomok, Kecamatan Simanindo, Kabupaten Samosir. Museum ini didedikasikan untuk melestarikan dan memamerkan warisan budaya masyarakat Batak. Pengunjung dapat melihat berbagai artefak tradisional, seperti rumah adat Batak, alat musik, pakaian tradisional, dan benda-benda bersejarah lainnya",bukan kategori
Air Terjun Sitiris Tiris,https://www.google.com/maps/place/Air+Terjun+Sitiris+Tiris/data=!4m7!3m6!1s0x3031c957627d018d:0x7dcfc5580c83e564!8m2!3d2.7249505!4d98.5948899!16s%2Fg%2F11t2ty0stq!19sChIJjQF9YlfJMTARZOWDDFjFz30?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMQ30T6SjXuFf8OMCk8gqz9vDwbZNnPRErTSxsG=w80-h100-k-no,3.8,4,"Hasinggaan, Sianjur Mula Mula, Samosir Regency, North Sumatra",Open 08.00-16.00,2.7249505,98.5948899,Alam,"Pemandangan, Fotografi, Santai","Air Terjun Sitiris-tiris adalah destinasi tersembunyi di Desa Hasinggaan, Samosir, yang menawarkan keindahan alami khas kawasan Danau Toba. Terletak di antara perbukitan hijau dan belum ramai dikunjungi wisatawan, air terjun ini dikenal sebagai hidden gem yang masih sangat alami dan jernih. Menghadap langsung ke Danau Toba, pengunjung dapat menikmati panorama megah dan udara sejuk sambil menjelajah budaya lokal sepanjang perjalanan menyeberangi danau. Tempat ini cocok untuk wisatawan yang mencari ketenangan, keasrian alam, dan pengalaman eksotis jauh dari keramaian.",
Bukit Gajah Bobok,https://www.google.com/maps/place/Bukit+Gajah+Bobok/data=!4m7!3m6!1s0x3031b34843090c27:0x1620a69ecb49e4f0!8m2!3d2.8990462!4d98.5108769!16s%2Fg%2F11p_5r5drm!19sChIJJwwJQ0izMTAR8ORJy56mIBY?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPxMuugsk5hI4bj3zZHxS-KhcFCciiygNnrDpmw=w122-h92-k-no,4.4,175,"Tongging, Merek, Karo Regency, North Sumatra",Open 08.00-16.00,2.8990462,98.5108769,Alam,"Pemandangan, Fotografi, Hiking, Camping, Pemandangan","Bukit Gajah Bobok adalah destinasi alam di Kabupaten Karo, Sumatera Utara, yang menawarkan lanskap perbukitan savana hijau dengan panorama menakjubkan ke Danau Toba dan gunung-gunung sekitarnya. Terletak di ketinggian 1.200 mdpl, bukit ini dikenal sebagai tempat ideal untuk menyaksikan matahari terbit, terbenam, dan langit malam penuh bintang. Bentuknya yang menyerupai gajah tidur menjadi daya tarik unik, sementara jalur hiking, area camping, dan spot foto alam menjadikannya favorit wisatawan pencinta alam.",
Pulau Tolping,https://www.google.com/maps/place/Pulau+Tolping/data=!4m7!3m6!1s0x3031c049b7ab7281:0x9bb141d904ae5a2c!8m2!3d2.7127967!4d98.8126931!16s%2Fg%2F11rqr9_6_h!19sChIJgXKrt0nAMTARLFquBNlBsZs?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPaLBnBF7xlA_N38abDIxQkT2yz5pqfBRwlGQwb=w163-h92-k-no,4.1,12,"Pulau Samosir, Simanindo, Kabupaten Samosir, Sumatera Utara",Open 08.00-16.00,2.7127967,98.8126931,Alam,"Pemandangan, Fotografi, Hiking, Camping, Perahu","Pulau Tolping adalah pulau kecil yang terletak di pinggiran Pulau Samosir, Danau Toba. Pulau ini dikenal karena keindahan alaminya yang masih asri dan belum banyak terjamah. Dikelilingi oleh bebatuan kecil yang tersusun rapi secara alami, Pulau Tolping menawarkan suasana tenang layaknya pulau pribadi. Vegetasi liar, pohon-pohon alami, serta konon adanya gua bawah tanah menambah daya tarik pulau ini. Pengunjung dapat menikmati panorama eksotis Danau Toba dari pulau ini, terutama dengan menyewa kapal nelayan atau sampan dari Desa Silalahi. Karena kedalamannya yang ekstrem dan belum terukur pasti, pengunjung disarankan untuk tidak berenang di sekitarnya.",
Air Terjun Tombak Pangaribuan,https://www.google.com/maps/place/Air+Terjun+Tombak+Pangaribuan/data=!4m7!3m6!1s0x3031dd9500623b81:0xd45d2aff2ad55a4a!8m2!3d2.5316117!4d98.8168167!16s%2Fg%2F11c5x4ym34!19sChIJgTtiAJXdMTARSlrVKv8qXdQ?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNog6OQugvxp2AOR5zJbggwHeG-kIAjj85g7Mod=w80-h106-k-no,4.2,20,"Palipi, Samosir Regency, North Sumatra 22393",Open 24 hours,2.5316117,98.8168167,Alam,"Aktivitas Air, Pemandangan, Hiking","Air Terjun Tombak Pangaribuan terletak di Pardoman Nauli, Batu Jagar, Kecamatan Palipi, Sumatera Utara, sekitar 40 kilometer dari Kota Pangururan. Dengan ketinggian 35 meter dan luas limpahan air sekitar 400 meter persegi, air terjun ini menawarkan pesona alam yang memukau. Dikenal sebagai tempat persemayaman Raja Lotung, air terjun ini memiliki nilai historis yang menarik. Jalur menuju air terjun melalui jalan berbatu dan medan yang mendaki memberikan tantangan tersendiri, menjadikannya destinasi menarik bagi para pecinta alam dan pendaki. Keindahan alam yang dihadirkan, terutama saat melihat air terjun dari kejauhan, menjadikan Air Terjun Tombak Pangaribuan sebagai salah satu objek wisata andalan yang patut dikunjungi.",
Menara Pandang Simanindo,https://www.google.com/maps/place/Menara+Pandang+Simanindo/data=!4m7!3m6!1s0x3031bf54fc458df7:0x688a25165ccab970!8m2!3d2.7480401!4d98.7504048!16s%2Fg%2F11f57sk8jz!19sChIJ941F_FS_MTARcLnKXBYlimg?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNO-VxnxTbLLu7Jhvo6qBRIfijf_dmluoy18qcQ=w163-h92-k-no,4.5,23,"Simanindo Sangkal, Simanindo, Samosir Regency, North Sumatra",Open 08.00-16.00,2.7480401,98.7504048,Alam,"Pemandangan, Fotografi, Santai","Menara Pandang Simanindo merupakan destinasi wisata alam yang terletak di Simanindo Sangkal, Kecamatan Simanindo, Kabupaten Samosir, Sumatera Utara. Dari menara dua lantai ini, pengunjung dapat menikmati panorama Danau Toba dari jarak yang lebih dekat dibandingkan Menara Pandang Tele. Didirikan di atas perbukitan kecil sejak tahun 2017, menara ini menyuguhkan empat sudut pandang yang berbeda, termasuk pemandangan kampung tradisional Simanindo dan pulau kecil yang hijau nan mempesona. Keindahan alam berpadu dengan suasana sejuk dan ornamen sederhana khas Batak. Tempat ini cocok untuk bersantai, berswafoto, serta menikmati pemandangan sambil duduk di kursi panjang yang tersedia di balkon. Tidak dikenakan tiket masuk, menjadikannya pilihan populer saat akhir pekan.",
Bukit Simargulang Ombun,https://www.google.com/maps/place/Bukit+Simargulang+Ombun/data=!4m7!3m6!1s0x3031d949df305b7f:0xadf619ed85ddaacf!8m2!3d2.5062786!4d98.7387721!16s%2Fg%2F11f62rbtrw!19sChIJf1sw30nZMTARz6rdhe0Z9q0?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMt7s_OyTY7iDzgxwOBTHBOl3jd5RjN1LoPLncS=w138-h92-k-no,4.6,11,"Tamba Dolok, Sitio-Tio, Samosir Regency, North Sumatra",Open 24 hours,2.5062786,98.7387721,Alam,"Pemandangan, Fotografi, Camping","Bukit Simargalung Ombun adalah destinasi wisata alam tersembunyi yang terletak di Desa Tamba Dolok, Kecamatan Sitiotio, Kabupaten Samosir, Sumatera Utara. Dari puncaknya, pengunjung disuguhi panorama luar biasa: hamparan sawah hijau yang luas, desa Sitio-tio yang membentang, serta keindahan Danau Toba yang magis dari sudut yang jarang dijamah wisatawan. Tempat ini menawarkan suasana tenang dan alami, menjadikannya lokasi ideal untuk camping dan fotografi lanskap. Akses ke bukit ini bisa ditempuh dari Medan atau dari Menara Pandang Tele dengan kondisi jalan yang sudah ditingkatkan oleh masyarakat setempat. Keindahan alami dan ketenangan Bukit Simargalung Ombun menjadikannya surga tersembunyi yang layak dieksplorasi di luar rute wisata utama Samosir.",
Panatapan Batu Anduhur,https://www.google.com/maps/place/Panatapan+Batu+Anduhur/data=!4m7!3m6!1s0x3031cf13b78492b9:0x856868718e89b595!8m2!3d2.6236148!4d98.6255891!16s%2Fg%2F11lgwp5k__!19sChIJuZKEtxPPMTARlbWJjnFoaIU?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipOxdSzTHttWoZPDE0lUsrndU58rGIQdHWs7KbQj=w204-h92-k-no,4.7,56,"Huta Gurgur, Kec. Sianjur Mula Mula, Kabupaten Samosir, Sumatera Utara 22396",Open 24 hours,2.6236148,98.6255891,Alam,"Pemandangan, Fotografi","Penatapan Batu Anduhur di Huta Gurgur, Samosir, menawarkan pemandangan alam yang memukau dengan sawah yang terhampar luas dan pemandangan Danau Toba dari ketinggian. Pengunjung dapat menikmati suasana angin sejuk dan melihat Gunung Pusuk Buhit serta perbukitan sekitar. Meskipun akses menuju lokasi cukup menantang, keindahan alam di Batu Anduhur membuatnya layak dikunjungi.",
Pantai Pulo Tao,https://www.google.com/maps/place/Pantai+Pulo+Tao/data=!4m7!3m6!1s0x3031b98969f271af:0x40b42b97841a7e8!8m2!3d2.7567554!4d98.7345243!16s%2Fg%2F11ff0t2wyd!19sChIJr3HyaYm5MTAR6KdBeLlCCwQ?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipP7bCOcT7iuKJ85CBWVwlYHuGVswm2aH6su_dvb=w80-h106-k-no,4.5,28,,Open,2.7567554,98.7345243,Alam,,"MINIM INFO, kalau pulau tao baru ada tapi pantai pulau tao? gk ada bg",tidak jelas tempat
Museum Huta Bolon Simanindo,https://www.google.com/maps/place/Museum+Huta+Bolon+Simanindo/data=!4m7!3m6!1s0x3031b8ac44688e05:0xdb20e0beafe625bd!8m2!3d2.7522486!4d98.7441026!16s%2Fg%2F11byvwrylm!19sChIJBY5oRKy4MTARvSXmr77gINs?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNsz2kYSQBwwknFJQle3DVTG1Yx4ERD4rTJdABw=w80-h120-k-no,4.2,380,,Open,2.7522486,98.7441026,Budaya,"Hiburan, Edukasi","Museum Huta Bolon Simanindo terletak di kawasan Huta Bolon, Simanindo, Samosir, dan merupakan rumah adat warisan Raja Panualang Sidauruk, Kepala Nagari Simanindo. Sejak 1969, museum ini dibuka untuk umum dengan koleksi peninggalan budaya Batak Toba, seperti parhalaan, pustaha laklak, tunggal panaluan, solu bolon, dan barang tradisional lainnya. Museum ini dikenal dengan bangunan tradisionalnya yang masih terjaga keasliannya dan menjadi latar belakang foto bagi pengunjung.",bukan kategori
Parhallow viewpoint and coffee shop,https://www.google.com/maps/place/Parhallow+viewpoint+and+coffee+shop/data=!4m7!3m6!1s0x3031e85086d2f2a5:0x67afd042ec7e3e80!8m2!3d2.6173738!4d98.8723285!16s%2Fg%2F11c1r7m3y7!19sChIJpfLShlDoMTARgD5-7ELQr2c?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipM7l48dgDXO-a-2VEpC3_wAoG-cg-WhDBFOX-J7=w163-h92-k-no,4.6,519,,Open,2.6173738,98.8723285,,,Hanya sebuah kafe kopi yang menawarkan view point,tidak relevan
Monkey Forest Umar Manik Sibaganding,https://www.google.com/maps/place/Monkey+Forest+Umar+Manik+Sibaganding/data=!4m7!3m6!1s0x3031ed88c3a8253b:0x895b849241557858!8m2!3d2.6931522!4d98.9269824!16s%2Fg%2F11fmq9zlkq!19sChIJOyWow4jtMTARWHhVQZKEW4k?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNynO7rNdAUR1WW6p5CC8jOr2vjkJSfOzMUwrca=w122-h92-k-no,4.9,46,"MWVG+7Q9, Jl. Siborongborong - Parapat",Open,2.6931522,98.9269824,,,"Kalau aku cek, ini tempatnya memprihatinkan gitu. tidak cocok untuk dijadikan tempat wisata sepertinya",tidak jelas tempat
Villa Armina Tongging,https://www.google.com/maps/place/Villa+Armina+Tongging/data=!4m7!3m6!1s0x3031b3cabd9a48a7:0xfc83b86d2a1e1e5d!8m2!3d2.8944375!4d98.5363125!16s%2Fg%2F11gnn1xf0l!19sChIJp0iavcqzMTARXR4eKm24g_w?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMWHWV1zHuP_uMxCLuTi2QGVJBXehFIQIZGJH3J=w122-h92-k-no,3.8,584,,Open,2.8944375,98.5363125,,,ini tempat penginapan,tidak relevan
Tano Ponggol Promenade,https://www.google.com/maps/place/Tano+Ponggol+Promenade/data=!4m7!3m6!1s0x3031c5a8de97fac5:0xe9367b24bf87bd6b!8m2!3d2.6132053!4d98.6906372!16s%2Fg%2F11sk9y9x4q!19sChIJxfqX3qjFMTARa72HvyR7Nuk?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPCTgRFtrxk-uxNjO-VPSpYsZvHocG3xBcG4rae=w163-h92-k-no,4.5,101,JM7R+77,Open 24 hours,2.6132053,98.6906372,,,"ini tuh jalan setapak gitu di google ini hasilnya malah jembatan, artinya hanya fasilitas infrastruktur jalan, bukan tempat wisata walau banyak ulasan di googlemapsnya",tidak relevan
Pantai Sipinggan,https://www.google.com/maps/place/Indah+Sipinggan+Beach/data=!4m7!3m6!1s0x3031e1df48158301:0xe20812865d8411e8!8m2!3d2.4319981!4d98.8975483!16s%2Fg%2F11fy4mj19w!19sChIJAYMVSN_hMTAR6BGEXYYSCOI?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipPckmceiLt00PG-r70TH8fMp-Sw6b_sFtCQnTKH=w122-h92-k-no,4.7,7,"Danau, Toba, Siantar Sel., Kota Pematang Siantar, Sumatera Utara 22394",Open 08.00-16.00,2.4319981,98.8975483,Bahari,"Aktivitas Air, Berenang, Pemandangan, Fotografi","Pantai Sipinggan atau Pantai Indah Sipinggan Nainggolan adalah destinasi menawan di bibir Danau Toba yang menawarkan panorama alam yang memukau dengan garis pantai yang panjang, pasir putih, dan ombak danau yang tenang. Lokasinya berada di Desa Sipinggan, Kecamatan Nainggolan, Pulau Samosir. Pantai ini juga pernah menjadi tuan rumah “Festival Tuak” yang mempromosikan kearifan lokal.",
Pelabuhan Parapat,"https://www.google.com/maps/place/Pelabuhan+Parapat/@2.6680544,98.9356713,17.36z/data=!4m10!1m2!2m1!1sPelabuhan+wisata+danau+toba!3m6!1s0x3031eb8f596fe311:0x5f40ed294a51e30b!8m2!3d2.6685385!4d98.9369917!15sChtQZWxhYnVoYW4gd2lzYXRhIGRhbmF1IHRvYmFaHSIbcGVsYWJ1aGFuIHdpc2F0YSBkYW5hdSB0b2JhkgEGbWFyaW5hmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVI0T1hGbVJHVkJFQUWqAVoQASoUIhBwZWxhYnVoYW4gd2lzYXRhKCYyHxABIhsCE7ysDXZKSwVy1fSntc0PbC915Y2H73JQUlIyHxACIhtwZWxhYnVoYW4gd2lzYXRhIGRhbmF1IHRvYmHgAQD6AQQIABBA!16s%2Fg%2F11cjj04j6x?entry=ttu&g_ep=EgoyMDI1MDQzMC4xIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr_4piBGWH5GbrRIfXCqPam28zFkpeULBGmK8EpHB67NCqc1wD77XHqP1YlroKQ4kpQCCoCJjXQdYcO5sbZXYfDghgoEerXLVfEExTRk19VaOaAgPkmof-MPVTp9JHOrzb4dJRotQ=w408-h544-k-no,4.2,9,"Sumatra, Tiga Raja, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",Open 08.00-19.00,2.6685385,98.9369917,Bahari,"Aktivitas Air, Perahu, Transportasi","Pelabuhan Parapat adalah pintu gerbang utama ke Pulau Samosir dan kawasan Danau Toba. Pelabuhan ini merupakan tempat bersandarnya kapal feri dan kapal wisata yang akan mengantar wisatawan ke pulau tersebut. Selain sebagai tempat transportasi, pelabuhan ini juga menawarkan pemandangan Danau Toba yang indah dan berbagai aktivitas wisata air. ",
Danau Pea Porohan,https://www.google.com/maps/place/PEA+POROHAN+%28WISATA+ALAM%29/data=!4m7!3m6!1s0x3031c5900904bb3d:0x304eee46818a008d!8m2!3d2.6243546!4d98.7341014!16s%2Fg%2F11rc90hvwm!19sChIJPbsECZDFMTARjQCKgUbuTjA?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNYlmfjZFx3iBi2nGM0UiG-z3mNIQpYAcSRWCTP=w162-h92-k-no,4.8,4,"Salaon Toba, Ronggur Nihuta, Samosir Regency, North Sumatra 22392",Open 24 hours,2.6243546,98.7341014,Alam,"Pemandangan, Fotografi, Trekking, Memancing, Camping, Santai","Pea Porohan adalah sebuah danau yang terletak di Desa Salaon Toba, Kec. Ronggur Nihuta, Kab. Samosir, Sumatera Utara. Danau ini dikenal dengan julukan ""danau di atas danau"" karena posisinya yang berada di ketinggian, dikelilingi oleh pepohonan hijau yang menciptakan pemandangan alam yang memukau. Pea Porohan menawarkan pengalaman yang tenang dan damai, cocok untuk berfoto, piknik, atau trekking menikmati udara segar. Sejarah dan budaya lokal yang kental juga menambah daya tarik, dengan cerita tentang sumur sakral yang dipercaya dapat menyembuhkan penyakit. Fasilitas yang tersedia termasuk home stay, sepeda air, dan tempat untuk memancing. Wisatawan juga dapat berkemah di sekitar danau dan menikmati aktivitas alam lainnya.",
Pantai Said Dolok Parapat,https://www.google.com/maps/place/Pantai+pasir+putih+said+dolok/data=!4m7!3m6!1s0x3031eda50f73766f:0x3bdeda721ffe8650!8m2!3d2.6809914!4d98.9242616!16s%2Fg%2F11p02mnxvt!19sChIJb3ZzD6XtMTARUIb-H3La3js?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipOq9apZmbN3YbU1RKE3_cTuhy0F9qqQhJ16PehK=w122-h92-k-no,4.6,18,"Jl. Siborongborong - Parapat, Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara 21174",Open 24 hours,2.6809914,98.9242616,Bahari,"Aktivitas Air, Berenang, Camping, Santai","Pantai Said Dolok adalah pantai berpasir putih yang terletak di Jalan Siborong Borong - Parapat, Sibaganding, Kec. Girsang Sipangan Bolon, Kabupaten Simalungun, Sumatera Utara. Pantai ini memiliki pasir putih yang landai dengan keindahan alam yang masih alami dan bersih, menciptakan suasana yang tenang dan menenangkan bagi para pengunjung.",
Cottage Aek Tawar Sari,https://www.google.com/maps/place/Cottage+Aek+Tawar+Sari/data=!4m7!3m6!1s0x3031dd2d24663ab1:0x51f206cf0196ac46!8m2!3d2.5882516!4d98.7813773!16s%2Fg%2F11vcl95m1y!19sChIJsTpmJC3dMTARRqyWAc8G8lE?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipNDQ8BM7hE4tz2OgRhUCyrqv7TYAnBGYYPGHROF=w122-h92-k-no,4.8,18,,Open 24 hours,2.5882516,98.7813773,,,Ini penginapan,tidak relevan
Simarjarunjung carabel,https://www.google.com/maps/place/Simarjarunjung+carabel/data=!4m7!3m6!1s0x3031bd2be04359c9:0x6669dc6b3d677553!8m2!3d2.8285625!4d98.7669375!16s%2Fg%2F11t_h215x8!19sChIJyVlD4Cu9MTARU3VnPWvcaWY?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipO7SMQb7Hg3af4hFkBXKr_Az4W2maqU6uejNCwr=w163-h92-k-no,4.1,22,,Open 08.00-16.00,2.8285625,98.7669375,Taman Hiburan,"Hiburan, Fotografi, Santai","Jembatan Kaca Simarjarunjung Carabel adalah destinasi wisata alam yang terletak di Bukit Indah Simarjarunjung, Kabupaten Simalungun, Sumatera Utara. Objek wisata ini menawarkan pengalaman unik dengan berjalan di atas jembatan kaca yang menghadap langsung ke Danau Toba, memberikan sensasi seperti melayang di atas langit. Selain menikmati pemandangan alam yang memukau, pengunjung juga dapat berfoto di berbagai spot Instagramable yang tersedia di sekitar area wisata. Fasilitas yang disediakan mencakup wahana sepeda gantung, rumah makan dengan pemandangan indah, serta tempat ibadah bagi pengunjung yang membutuhkan. Dengan tiket masuk yang terjangkau, Jembatan Kaca Simarjarunjung Carabel menjadi pilihan tepat bagi wisatawan yang ingin menikmati keindahan alam dan berfoto di lokasi yang unik.",bukan kategori
Pantai Gading Pulau Samosir,https://www.google.com/maps/place/Pantai+Gading+Pulau+Samosir/data=!4m7!3m6!1s0x3031c0a419aa59bf:0x38cec27f4436f439!8m2!3d2.7407116!4d98.7636885!16s%2Fg%2F11b7q683xx!19sChIJv1mqGaTAMTAROfQ2RH_Czjg?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/p/AF1QipMEuqTDlHDNI_AeHU8wosSSFPk_12rg45GYIZ4Z=w122-h92-k-no,4.4,33,$$,Open 08.00-16.00,2.7407116,98.7636885,Bahari,Memancing,"MINIM INFO, TEMPATNYA/PEMANDANGANNYA BIASA AJA DAN BIASANYA BUAT MANCING",tidak jelas tempat
